order_item_id,order_id,product_id,quantity,price
1,354,371,3,8
2,455,22,1,19
3,58,597,4,17
4,107,805,5,15
5,385,252,3,2
6,112,393,2,15
7,63,171,1,20
8,159,856,3,12
9,149,433,4,10
10,213,830,4,4
11,261,537,3,14
12,287,621,2,10
13,424,190,2,17
14,331,648,1,19
15,189,950,1,4
16,338,505,3,13
17,339,70,4,3
18,233,364,3,15
19,321,590,2,5
20,323,410,3,19
21,438,687,1,18
22,316,868,5,8
23,155,629,4,18
24,359,634,4,11
25,334,160,2,12
26,350,116,2,14
27,92,986,2,8
28,444,844,5,18
29,490,520,1,10
30,257,744,4,2
31,88,798,3,13
32,284,724,4,13
33,363,227,2,7
34,69,172,4,15
35,470,176,5,9
36,268,693,2,6
37,60,661,3,16
38,143,114,1,6
39,84,685,1,7
40,108,284,2,15
41,68,749,5,9
42,85,466,2,12
43,339,726,3,19
44,412,762,2,12
45,87,76,4,6
46,209,170,4,1
47,303,366,3,6
48,410,705,5,11
49,335,791,3,19
50,20,152,2,19
51,357,975,5,7
52,431,456,3,15
53,69,108,4,19
54,135,567,2,6
55,182,322,4,15
56,472,756,2,19
57,80,96,5,8
58,316,441,3,9
59,449,868,2,9
60,390,554,5,17
61,106,193,3,10
62,85,895,3,6
63,500,572,4,1
64,323,542,4,10
65,158,344,4,5
66,205,228,4,18
67,294,496,4,10
68,67,702,5,10
69,350,28,3,4
70,119,311,2,17
71,486,818,2,1
72,427,967,2,6
73,244,507,1,12
74,212,352,2,11
75,54,142,4,18
76,17,294,3,13
77,415,440,1,5
78,226,111,2,19
79,208,611,1,17
80,143,953,2,5
81,302,673,4,6
82,7,714,3,5
83,416,35,4,19
84,23,584,4,16
85,14,371,3,13
86,101,480,5,6
87,55,629,2,9
88,198,300,2,10
89,182,647,3,15
90,460,371,5,8
91,27,58,3,16
92,165,322,4,20
93,91,532,4,19
94,403,467,4,6
95,140,814,3,4
96,489,994,1,9
97,163,774,2,18
98,117,896,3,19
99,285,910,2,12
100,393,467,2,4
101,176,960,3,4
102,444,581,4,5
103,366,923,2,12
104,69,343,1,10
105,115,203,3,15
106,173,824,3,12
107,477,613,2,4
108,351,52,2,4
109,381,882,5,14
110,254,342,5,9
111,409,483,1,15
112,457,420,4,20
113,444,326,1,15
114,76,377,2,13
115,273,464,3,11
116,117,326,1,10
117,143,255,3,19
118,338,49,4,17
119,218,771,2,20
120,122,460,4,6
121,186,329,1,7
122,230,794,1,10
123,323,784,4,18
124,445,891,3,13
125,285,700,3,2
126,4,352,4,17
127,163,644,1,6
128,284,217,3,8
129,478,479,3,15
130,106,784,5,19
131,465,99,4,11
132,116,666,4,15
133,246,728,3,9
134,130,300,2,3
135,388,720,1,14
136,132,831,4,18
137,314,504,4,11
138,339,807,3,4
139,453,165,2,1
140,10,198,3,8
141,435,318,2,3
142,84,75,4,19
143,500,269,5,5
144,28,161,4,11
145,365,49,4,2
146,14,753,1,15
147,83,185,1,10
148,376,388,4,5
149,300,9,2,3
150,203,276,1,11
151,85,694,5,7
152,173,991,2,20
153,476,589,2,8
154,466,557,4,8
155,371,597,4,5
156,345,851,5,7
157,193,561,4,20
158,17,181,4,11
159,253,874,4,12
160,216,59,4,7
161,50,36,4,20
162,271,186,2,18
163,141,582,3,19
164,292,406,3,14
165,278,658,3,7
166,51,236,2,14
167,183,990,3,7
168,347,85,3,12
169,253,658,4,19
170,188,506,4,5
171,55,769,3,12
172,330,498,3,16
173,105,994,4,5
174,390,771,4,16
175,34,103,4,17
176,183,349,3,13
177,88,118,3,17
178,267,965,4,9
179,447,305,4,1
180,349,896,2,4
181,38,148,3,16
182,428,915,5,8
183,493,131,5,2
184,246,534,2,12
185,412,914,2,7
186,279,545,2,16
187,244,987,4,5
188,109,12,2,8
189,251,112,1,16
